product_id,product_name,category,brand,purchase_price,MRP,warranty_months,MRP_USD,MRP_EUR,price_bucket
2020,Dell Inspiron 15,Laptop,Dell,48000,72000,24,761.7600000000001,648.0,Luxury (60K+)
2021,Samsung Crystal 4K 55 inch,Television,Samsung,28000,42000,24,444.36,377.99999999999994,Premium (30K-60K)
2022,LG OLED C3 65 inch,Television,LG,75000,112500,24,1190.25,1012.4999999999999,Luxury (60K+)
2023,Sony Bravia X80L 50 inch,Television,Sony,32000,48000,24,507.84000000000003,431.99999999999994,Premium (30K-60K)
2024,MI TV 5X 43 inch,Television,MI,18000,27000,12,285.66,242.99999999999997,Mid (10K-30K)
2025,Vu Premium 55 inch,Television,Vu,25000,37500,12,396.75000000000006,337.5,Premium (30K-60K)
2026,TCL P635 50 inch,Television,TCL,22000,33000,12,349.14000000000004,297.0,Premium (30K-60K)
2027,OnePlus Y1S Pro 43 inch,Television,OnePlus,17000,25500,24,269.79,229.49999999999997,Mid (10K-30K)
2028,Hisense A6H 55 inch,Television,Hisense,24000,36000,12,380.88000000000005,324.0,Premium (30K-60K)
2029,Panasonic TH-43 inch,Television,Panasonic,19000,28500,12,301.53000000000003,256.5,Mid (10K-30K)
2030,Redmi Smart TV X55,Television,Redmi,26000,39000,12,412.62000000000006,351.0,Premium (30K-60K)
2031,JBL Flip 6,Speaker,JBL,7000,10500,24,111.09,94.49999999999999,Mid (10K-30K)
2032,Sony SRS-XB33,Speaker,Sony,8500,12750,12,134.895,114.74999999999999,Mid (10K-30K)
2033,Bose SoundLink Flex,Speaker,Bose,9000,13500,12,142.83,121.49999999999999,Mid (10K-30K)
2034,Marshall Emberton II,Speaker,Marshall,9500,14250,12,150.76500000000001,128.25,Mid (10K-30K)
2035,boAt Stone 1400,Speaker,boAt,2500,3750,12,39.675000000000004,33.75,Economy (2K-10K)
2036,Harman Kardon Onyx Studio 8,Speaker,Harman Kardon,14000,21000,24,222.18,188.99999999999997,Mid (10K-30K)
2037,Anker Soundcore Motion+,Speaker,Anker,7500,11250,12,119.025,101.24999999999999,Mid (10K-30K)
2038,Zebronics Zeb-County,Speaker,Zebronics,1200,1800,12,19.044,16.2,Budget (<2K)
2039,Portronics Trix 10,Speaker,Portronics,1500,2250,12,23.805000000000003,20.25,Economy (2K-10K)
2040,iBall Musi Playback,Speaker,iBall,800,1200,12,12.696000000000002,10.799999999999999,Budget (<2K)
2041,Sony WH-1000XM5,Headphone,Sony,18000,27000,24,285.66,242.99999999999997,Mid (10K-30K)
2042,Bose QuietComfort 45,Headphone,Bose,20000,30000,24,317.40000000000003,270.0,Premium (30K-60K)
2043,JBL Tune 770NC,Headphone,JBL,5500,8250,12,87.28500000000001,74.25,Economy (2K-10K)
2044,Sennheiser HD 450BT,Headphone,Sennheiser,7000,10500,24,111.09,94.49999999999999,Mid (10K-30K)
2045,Apple AirPods Pro 2,Headphone,Apple,17000,25500,12,269.79,229.49999999999997,Mid (10K-30K)
2046,boAt Rockerz 550,Headphone,boAt,2000,3000,24,31.740000000000002,26.999999999999996,Economy (2K-10K)
2047,OnePlus Buds Pro 2,Headphone,OnePlus,4500,6750,24,71.415,60.74999999999999,Economy (2K-10K)
2048,Realme Buds Air 5,Headphone,Realme,1500,2250,12,23.805000000000003,20.25,Economy (2K-10K)
2049,Jabra Evolve2 55,Headphone,Jabra,16000,24000,12,253.92000000000002,215.99999999999997,Mid (10K-30K)
2050,Skullcandy Crusher Evo,Headphone,Skullcandy,9000,13500,12,142.83,121.49999999999999,Mid (10K-30K)
2051,Logitech MX Keys Keyboard,Laptop Accessories,Logitech,7000,10500,12,111.09,94.49999999999999,Mid (10K-30K)
2052,Dell USB-C Docking Station,Laptop Accessories,Dell,12000,18000,24,190.44000000000003,162.0,Mid (10K-30K)
2053,HP USB Mouse M150,Laptop Accessories,HP,500,799,12,8.453420000000001,7.191,Budget (<2K)
2054,Anker 65W GaN Charger,Laptop Accessories,Anker,3500,5250,24,55.545,47.24999999999999,Economy (2K-10K)
2055,Belkin 11-in-1 USB-C Hub,Laptop Accessories,Belkin,4000,6000,12,63.480000000000004,53.99999999999999,Economy (2K-10K)
2056,Lenovo 15.6 inch Laptop Bag,Laptop Accessories,Lenovo,1200,1800,24,19.044,16.2,Budget (<2K)
2057,TP-Link USB WiFi Adapter,Laptop Accessories,TP-Link,800,1200,24,12.696000000000002,10.799999999999999,Budget (<2K)
2058,Samsung T7 Portable SSD,Laptop Accessories,Samsung,7500,11250,24,119.025,101.24999999999999,Mid (10K-30K)
2059,Targus Privacy Screen Filter,Laptop Accessories,Targus,2500,3750,24,39.675000000000004,33.75,Economy (2K-10K)
2060,HyperX Cloud Mouse Pad XL,Laptop Accessories,HyperX,1000,1500,24,15.870000000000001,13.499999999999998,Budget (<2K)
2061,Apple iPad 10th Gen,Tablet,Apple,32000,48000,24,507.84000000000003,431.99999999999994,Premium (30K-60K)
2062,Samsung Galaxy Tab S9,Tablet,Samsung,55000,82500,24,872.85,742.5,Luxury (60K+)
2063,Lenovo Tab P12,Tablet,Lenovo,26000,39000,24,412.62000000000006,351.0,Premium (30K-60K)
2064,Realme Pad X,Tablet,Realme,15000,22500,24,238.05,202.49999999999997,Mid (10K-30K)
2065,Xiaomi Pad 6,Tablet,Xiaomi,22000,33000,12,349.14000000000004,297.0,Premium (30K-60K)
2066,OnePlus Pad Go,Tablet,OnePlus,18000,27000,12,285.66,242.99999999999997,Mid (10K-30K)
2067,Redmi Pad SE,Tablet,Redmi,12000,18000,24,190.44000000000003,162.0,Mid (10K-30K)
2068,Nokia T21,Tablet,Nokia,14000,21000,12,222.18,188.99999999999997,Mid (10K-30K)
2069,Lava Agni 2 Tablet,Tablet,Lava,11000,16500,12,174.57000000000002,148.5,Mid (10K-30K)
2070,iBall Slide Elan 4G2,Tablet,iBall,8000,12000,12,126.96000000000001,107.99999999999999,Mid (10K-30K)
2071,Samsung 253L Double Door,Refrigerator,Samsung,18000,27000,12,285.66,242.99999999999997,Mid (10K-30K)
2072,LG 308L Frost Free,Refrigerator,LG,24000,36000,24,380.88000000000005,324.0,Premium (30K-60K)
2073,Whirlpool 265L Triple Door,Refrigerator,Whirlpool,20000,30000,12,317.40000000000003,270.0,Premium (30K-60K)
2074,Haier 320L Side-by-Side,Refrigerator,Haier,32000,48000,12,507.84000000000003,431.99999999999994,Premium (30K-60K)
2075,Godrej 190L Single Door,Refrigerator,Godrej,10000,15000,12,158.70000000000002,135.0,Mid (10K-30K)
2076,Bosch 347L Frost Free,Refrigerator,Bosch,28000,42000,24,444.36,377.99999999999994,Premium (30K-60K)
2077,Voltas Beko 340L Double Door,Refrigerator,Voltas,25000,37500,24,396.75000000000006,337.5,Premium (30K-60K)
2078,Panasonic 296L Double Door,Refrigerator,Panasonic,22000,33000,24,349.14000000000004,297.0,Premium (30K-60K)
2079,Electrolux 250L Single Door,Refrigerator,Electrolux,16000,24000,12,253.92000000000002,215.99999999999997,Mid (10K-30K)
2080,Hitachi 394L French Door,Refrigerator,Hitachi,38000,57000,24,603.0600000000001,513.0,Premium (30K-60K)
2081,Samsung 7kg Front Load,Washing Machine,Samsung,26000,39000,12,412.62000000000006,351.0,Premium (30K-60K)
2082,LG 8kg AI Direct Drive,Washing Machine,LG,35000,52500,24,555.45,472.49999999999994,Premium (30K-60K)
2083,Whirlpool 6.5kg Top Load,Washing Machine,Whirlpool,14000,21000,24,222.18,188.99999999999997,Mid (10K-30K)
2084,Bosch 8kg Serie 6 Front Load,Washing Machine,Bosch,38000,57000,12,603.0600000000001,513.0,Premium (30K-60K)
2085,IFB 6kg Fully Automatic,Washing Machine,IFB,22000,33000,24,349.14000000000004,297.0,Premium (30K-60K)
2086,Haier 7.5kg Top Load,Washing Machine,Haier,13000,19500,12,206.31000000000003,175.5,Mid (10K-30K)
2087,Godrej 7kg Fully Automatic,Washing Machine,Godrej,15000,22500,12,238.05,202.49999999999997,Mid (10K-30K)
2088,Panasonic 7kg Top Load,Washing Machine,Panasonic,14500,21750,12,230.115,195.74999999999997,Mid (10K-30K)
2089,Voltas Beko 8kg Front Load,Washing Machine,Voltas,29000,43500,12,460.23,391.49999999999994,Premium (30K-60K)
2090,Lloyd 8kg Fully Automatic,Washing Machine,Lloyd,23000,34500,12,365.01000000000005,310.5,Premium (30K-60K)
2091,Sony HT-S400 2.1ch,Soundbar,Sony,9000,13500,12,142.83,121.49999999999999,Mid (10K-30K)
2092,Samsung HW-B550 2.1ch,Soundbar,Samsung,10000,15000,12,158.70000000000002,135.0,Mid (10K-30K)
2093,JBL Bar 500 5.1ch,Soundbar,JBL,22000,33000,24,349.14000000000004,297.0,Premium (30K-60K)
2094,Bose Smart Soundbar 300,Soundbar,Bose,28000,42000,12,444.36,377.99999999999994,Premium (30K-60K)
2095,Yamaha SR-B30A 2.1ch,Soundbar,Yamaha,11000,16500,24,174.57000000000002,148.5,Mid (10K-30K)
2096,LG S80QY 3.1.3ch,Soundbar,LG,25000,37500,12,396.75000000000006,337.5,Premium (30K-60K)
2097,boAt Aavante Bar 1500,Soundbar,boAt,3000,4500,24,47.61000000000001,40.5,Economy (2K-10K)
2098,Zebronics Juke Bar 9800,Soundbar,Zebronics,2000,3000,12,31.740000000000002,26.999999999999996,Economy (2K-10K)
2099,Philips TAB5305 2.1ch,Soundbar,Philips,4500,6750,24,71.415,60.74999999999999,Economy (2K-10K)
2100,Portronics SoundDrum 1,Soundbar,Portronics,1200,1800,24,19.044,16.2,Budget (<2K)
2101,Samsung 1.5 Ton 5 Star Inverter,AC,Samsung,28000,42000,24,444.36,377.99999999999994,Premium (30K-60K)
2102,LG 1 Ton 4 Star Dual Inverter,AC,LG,22000,33000,12,349.14000000000004,297.0,Premium (30K-60K)
2103,Voltas 1.5 Ton 3 Star Split,AC,Voltas,24000,36000,12,380.88000000000005,324.0,Premium (30K-60K)
2104,Daikin 1.5 Ton 5 Star Inverter,AC,Daikin,32000,48000,24,507.84000000000003,431.99999999999994,Premium (30K-60K)
2105,Blue Star 1 Ton 3 Star Window,AC,Blue Star,18000,27000,24,285.66,242.99999999999997,Mid (10K-30K)
2106,Hitachi 1.5 Ton 5 Star Inverter,AC,Hitachi,30000,45000,24,476.1,404.99999999999994,Premium (30K-60K)
2107,Whirlpool 1.5 Ton 3 Star Split,AC,Whirlpool,25000,37500,12,396.75000000000006,337.5,Premium (30K-60K)
2108,Godrej 1 Ton 5 Star Inverter,AC,Godrej,27000,40500,24,428.49,364.5,Premium (30K-60K)
2109,Panasonic 1.5 Ton 5 Star Inverter,AC,Panasonic,31000,46500,24,491.97,418.49999999999994,Premium (30K-60K)
2110,Carrier 1.5 Ton 3 Star Split,AC,Carrier,23000,34500,24,365.01000000000005,310.5,Premium (30K-60K)
2111,Symphony Diet 12T Personal Cooler,Cooler,Symphony,3500,5250,12,55.545,47.24999999999999,Economy (2K-10K)
2112,Bajaj Platini PX97 Torque Cooler,Cooler,Bajaj,4000,6000,24,63.480000000000004,53.99999999999999,Economy (2K-10K)
2113,Crompton Optimus 65 Desert Cooler,Cooler,Crompton,7000,10500,24,111.09,94.49999999999999,Mid (10K-30K)
2114,Havells Celia 55L Desert Cooler,Cooler,Havells,6000,9000,12,95.22000000000001,81.0,Economy (2K-10K)
2115,Orient Electric Smartcool 16L,Cooler,Orient,2500,3750,24,39.675000000000004,33.75,Economy (2K-10K)
2116,Kenstar Double Cool Dx 50L,Cooler,Kenstar,5500,8250,12,87.28500000000001,74.25,Economy (2K-10K)
2117,V-Guard Window W200 Window Cooler,Cooler,V-Guard,4500,6750,24,71.415,60.74999999999999,Economy (2K-10K)
2118,Usha Maxx Air 70 Desert Cooler,Cooler,Usha,8000,12000,24,126.96000000000001,107.99999999999999,Mid (10K-30K)
2119,Voltas Grand 72L Desert Cooler,Cooler,Voltas,7500,11250,12,119.025,101.24999999999999,Mid (10K-30K)
2120,Blue Star PA75LMA 75L Cooler,Cooler,Blue Star,9000,13500,24,142.83,121.49999999999999,Mid (10K-30K)
