product_id,product_name,category,brand,purchase_price,selling_price,warranty_months
2050,Skullcandy Crusher Evo,Headphone,Skullcandy,9000,12499,12
2051,Logitech MX Keys Keyboard,Laptop Accessories,Logitech,7000,9499,12
2052,Dell USB-C Docking Station,Laptop Accessories,Dell,12000,15999,24
2053,HP USB Mouse M150,Laptop Accessories,HP,500,799,12
2054,Anker 65W GaN Charger,Laptop Accessories,Anker,3500,4799,24
2055,Belkin 11-in-1 USB-C Hub,Laptop Accessories,Belkin,4000,5499,12
2056,Lenovo 15.6 inch Laptop Bag,Laptop Accessories,Lenovo,1200,1699,24
2057,TP-Link USB WiFi Adapter,Laptop Accessories,TP-Link,800,1199,24
2058,Samsung T7 Portable SSD,Laptop Accessories,Samsung,7500,9999,24
2059,Targus Privacy Screen Filter,Laptop Accessories,Targus,2500,3499,24
2060,HyperX Cloud Mouse Pad XL,Laptop Accessories,HyperX,1000,1499,24
2061,Apple iPad 10th Gen,Tablet,Apple,32000,44900,24
2062,Samsung Galaxy Tab S9,Tablet,Samsung,55000,72990,24
2063,Lenovo Tab P12,Tablet,Lenovo,26000,34990,24
2064,Realme Pad X,Tablet,Realme,15000,19990,24
2065,Xiaomi Pad 6,Tablet,Xiaomi,22000,29990,12
2066,OnePlus Pad Go,Tablet,OnePlus,18000,23990,12
2067,Redmi Pad SE,Tablet,Redmi,12000,15990,24
2068,Nokia T21,Tablet,Nokia,14000,18990,12
2069,Lava Agni 2 Tablet,Tablet,Lava,11000,14990,12
2070,iBall Slide Elan 4G2,Tablet,iBall,8000,10990,12
2071,Samsung 253L Double Door,Refrigerator,Samsung,18000,24990,12
2072,LG 308L Frost Free,Refrigerator,LG,24000,32990,24
2073,Whirlpool 265L Triple Door,Refrigerator,Whirlpool,20000,27990,12
2074,Haier 320L Side-by-Side,Refrigerator,Haier,32000,44990,12
2075,Godrej 190L Single Door,Refrigerator,Godrej,10000,13990,12
2076,Bosch 347L Frost Free,Refrigerator,Bosch,28000,38990,24
2077,Voltas Beko 340L Double Door,Refrigerator,Voltas,25000,34990,24
2078,Panasonic 296L Double Door,Refrigerator,Panasonic,22000,29990,24
2079,Electrolux 250L Single Door,Refrigerator,Electrolux,16000,21990,12
2080,Hitachi 394L French Door,Refrigerator,Hitachi,38000,52990,24
2081,Samsung 7kg Front Load,Washing Machine,Samsung,26000,34990,12
2082,LG 8kg AI Direct Drive,Washing Machine,LG,35000,46990,24
2083,Whirlpool 6.5kg Top Load,Washing Machine,Whirlpool,14000,18990,24
2084,Bosch 8kg Serie 6 Front Load,Washing Machine,Bosch,38000,49990,12
2085,IFB 6kg Fully Automatic,Washing Machine,IFB,22000,29990,24
2086,Haier 7.5kg Top Load,Washing Machine,Haier,13000,17990,12
2087,Godrej 7kg Fully Automatic,Washing Machine,Godrej,15000,19990,12
2088,Panasonic 7kg Top Load,Washing Machine,Panasonic,14500,18990,12
2089,Voltas Beko 8kg Front Load,Washing Machine,Voltas,29000,38990,12
2090,Lloyd 8kg Fully Automatic,Washing Machine,Lloyd,23000,30990,12
2091,Sony HT-S400 2.1ch,Soundbar,Sony,9000,12499,12
2092,Samsung HW-B550 2.1ch,Soundbar,Samsung,10000,13999,12
2093,JBL Bar 500 5.1ch,Soundbar,JBL,22000,29990,24
2094,Bose Smart Soundbar 300,Soundbar,Bose,28000,37990,12
2095,Yamaha SR-B30A 2.1ch,Soundbar,Yamaha,11000,14999,24
2096,LG S80QY 3.1.3ch,Soundbar,LG,25000,34990,12
2097,boAt Aavante Bar 1500,Soundbar,boAt,3000,3999,24
2098,Zebronics Juke Bar 9800,Soundbar,Zebronics,2000,2799,12
2099,Philips TAB5305 2.1ch,Soundbar,Philips,4500,5999,24
2100,Portronics SoundDrum 1,Soundbar,Portronics,1200,1699,24
2101,Samsung 1.5 Ton 5 Star Inverter,AC,Samsung,28000,38990,24
2102,LG 1 Ton 4 Star Dual Inverter,AC,LG,22000,30990,12
2103,Voltas 1.5 Ton 3 Star Split,AC,Voltas,24000,32990,12
2104,Daikin 1.5 Ton 5 Star Inverter,AC,Daikin,32000,44990,24
2105,Blue Star 1 Ton 3 Star Window,AC,Blue Star,18000,24990,24
2106,Hitachi 1.5 Ton 5 Star Inverter,AC,Hitachi,30000,41990,24
2107,Whirlpool 1.5 Ton 3 Star Split,AC,Whirlpool,25000,33990,12
2108,Godrej 1 Ton 5 Star Inverter,AC,Godrej,27000,36990,24
2109,Panasonic 1.5 Ton 5 Star Inverter,AC,Panasonic,31000,42990,24
2110,Carrier 1.5 Ton 3 Star Split,AC,Carrier,23000,31990,24
2111,Symphony Diet 12T Personal Cooler,Cooler,Symphony,3500,4799,12
2112,Bajaj Platini PX97 Torque Cooler,Cooler,Bajaj,4000,5499,24
2113,Crompton Optimus 65 Desert Cooler,Cooler,Crompton,7000,9499,24
2114,Havells Celia 55L Desert Cooler,Cooler,Havells,6000,7999,12
2115,Orient Electric Smartcool 16L,Cooler,Orient,2500,3499,24
2116,Kenstar Double Cool Dx 50L,Cooler,Kenstar,5500,7499,12
2117,V-Guard Window W200 Window Cooler,Cooler,V-Guard,4500,5999,24
2118,Usha Maxx Air 70 Desert Cooler,Cooler,Usha,8000,10999,24
2119,Voltas Grand 72L Desert Cooler,Cooler,Voltas,7500,9999,12
2120,Blue Star PA75LMA 75L Cooler,Cooler,Blue Star,9000,12499,24
