feedback_id,customer_id,store_id,rating,comment,channel,date
42,6348,1,4,Outstanding support and great deals.,App,2025-05-20
43,6030,2,4,Store was clean and well organized.,WhatsApp,2025-01-07
44,6354,2,4,Five stars well deserved!,Email,2022-10-29
45,6197,8,2,"Billing took forever, staff was rude.",WhatsApp,2023-08-14
46,6328,8,3,"Met some expectations, decent selection.",App,2024-11-01
47,6279,4,5,Quick billing and smooth process.,Website,2024-03-12
48,6427,3,4,Outstanding support and great deals.,Website,2025-07-06
49,6117,5,4,Quick billing and smooth process.,Website,2022-06-21
50,6144,8,2,Overpriced and poor quality.,WhatsApp,2025-04-09
51,6076,8,3,"Met some expectations, decent selection.",App,2023-05-29
52,6329,8,5,Store was clean and well organized.,In-Store,2022-03-02
53,6297,8,5,Super fast billing and great ambience.,In-Store,2023-10-04
54,6496,5,3,Service was okay but could be improved.,App,2024-09-07
55,6164,3,3,Product meets basic expectations.,Website,2023-08-27
56,6261,3,2,Price is not justified for the quality.,Website,2023-04-28
57,6239,9,4,Five stars well deserved!,Website,2022-03-06
58,6327,3,4,Best electronics store in the city!,Website,2022-03-14
59,6415,1,1,"Product is average, expected much more.",Email,2025-10-08
60,6225,1,3,Product meets basic expectations.,Website,2022-10-11
61,6299,5,2,"Product is average, expected much more.",WhatsApp,2022-10-01
62,6139,8,5,Will definitely come back again!,App,2024-01-26
63,6233,5,3,Service was okay but could be improved.,Email,2025-02-06
64,6455,10,5,Best electronics store in the city!,App,2025-09-14
65,6260,2,2,Overpriced and poor quality.,Phone-Call,2024-08-18
66,6340,7,4,Best electronics store in the city!,App,2024-07-25
67,6065,10,4,Staff went above and beyond to help.,Email,2023-07-16
68,6358,3,3,Store was clean but staff seemed busy.,WhatsApp,2024-07-31
69,6127,9,1,Return process was complicated.,WhatsApp,2023-10-16
70,6468,4,5,Quick billing and smooth process.,WhatsApp,2023-04-10
71,6391,1,5,Super fast billing and great ambience.,Website,2023-06-13
72,6294,4,5,Outstanding support and great deals.,Phone-Call,2023-01-02
73,6082,3,4,Five stars well deserved!,App,2024-06-19
74,6027,10,5,Amazing product quality. Very satisfied.,Email,2023-07-08
75,6478,5,2,"Product is average, expected much more.",Email,2026-01-19
76,6355,6,3,Store was clean but staff seemed busy.,Email,2022-03-13
77,6038,5,4,Amazing product quality. Very satisfied.,Website,2025-10-13
78,6184,2,4,Outstanding support and great deals.,WhatsApp,2022-05-18
79,6291,2,3,Product meets basic expectations.,Email,2023-11-08
80,6104,1,4,Five stars well deserved!,Email,2026-03-07
81,6399,2,5,Will definitely come back again!,Website,2023-05-23
82,6274,4,4,Will definitely come back again!,Email,2026-03-23
83,6432,5,4,Staff went above and beyond to help.,Website,2023-07-10
84,6477,2,1,"Long waiting time, no one attended to us.",Phone-Call,2022-12-04
85,6392,10,4,Five stars well deserved!,Website,2024-07-11
86,6266,4,3,Product meets basic expectations.,Phone-Call,2022-10-14
87,6078,7,5,Good value for money.,Phone-Call,2025-07-16
88,6397,4,4,Staff went above and beyond to help.,In-Store,2023-04-07
89,6312,9,5,Five stars well deserved!,WhatsApp,2022-01-15
90,6128,8,5,Store was clean and well organized.,Website,2023-07-28
91,6107,7,4,Five stars well deserved!,App,2022-07-16
92,6240,3,2,"Billing took forever, staff was rude.",Website,2023-07-25
93,6145,6,4,Will definitely come back again!,Email,2023-10-23
94,6207,2,5,Good value for money.,WhatsApp,2022-04-10
95,6184,3,4,Store was clean and well organized.,Website,2022-07-20
96,6420,5,5,Store was clean and well organized.,Website,2024-03-23
97,6447,3,4,Store was clean and well organized.,WhatsApp,2022-01-01
98,6022,10,2,"Long waiting time, no one attended to us.",Website,2025-04-24
99,6039,3,3,Store was clean but staff seemed busy.,In-Store,2023-10-01
100,6311,8,4,Super fast billing and great ambience.,App,2023-09-16
101,6117,4,4,Will definitely come back again!,Email,2022-03-01
102,6093,8,4,Store was clean and well organized.,Website,2025-02-01
103,6386,6,4,Quick billing and smooth process.,Phone-Call,2022-09-11
104,6187,4,1,"Billing took forever, staff was rude.",WhatsApp,2023-10-01
105,6280,1,5,Store was clean and well organized.,WhatsApp,2022-04-28
106,6454,2,1,Limited product options and low stock.,Email,2022-09-06
107,6064,2,1,Below average experience overall.,Email,2024-05-10
108,6322,6,4,Five stars well deserved!,WhatsApp,2024-12-23
109,6010,3,3,"Met some expectations, decent selection.",WhatsApp,2025-09-14
110,6128,2,3,"Average experience, nothing special.",Website,2025-06-14
111,6456,5,4,Outstanding support and great deals.,In-Store,2023-04-12
112,6011,4,1,Return process was complicated.,App,2025-09-27
113,6230,1,5,Store was clean and well organized.,WhatsApp,2025-06-04
114,6439,1,5,Amazing product quality. Very satisfied.,Phone-Call,2023-01-18
115,6207,2,5,Store was clean and well organized.,WhatsApp,2025-01-27
116,6149,2,1,Limited product options and low stock.,Website,2025-05-12
117,6497,5,1,Will not visit again. Terrible experience.,In-Store,2023-07-16
118,6423,4,3,Product meets basic expectations.,WhatsApp,2024-06-12
119,6390,1,1,Below average experience overall.,App,2024-01-16
120,6439,5,4,Outstanding support and great deals.,Email,2022-11-23
121,6500,6,4,Outstanding support and great deals.,Email,2023-03-05
122,6186,10,4,Super fast billing and great ambience.,Email,2022-03-18
123,6165,4,4,Good value for money.,App,2022-09-01
124,6002,10,3,Product meets basic expectations.,Website,2025-09-17
125,6179,4,5,Store was clean and well organized.,Email,2022-01-16
126,6410,10,5,Will definitely come back again!,In-Store,2023-06-19
127,6040,1,3,"Average experience, nothing special.",Email,2025-10-04
128,6035,5,4,Super fast billing and great ambience.,App,2023-02-05
129,6422,6,5,Outstanding support and great deals.,Email,2024-09-19
130,6014,3,3,Would recommend to friends.,Phone-Call,2022-11-03
131,6370,9,3,Product meets basic expectations.,WhatsApp,2023-06-25
132,6312,2,3,"Met some expectations, decent selection.",WhatsApp,2023-03-29
133,6311,8,5,Store was clean and well organized.,Phone-Call,2025-08-27
134,6489,5,5,Best electronics store in the city!,Website,2022-07-01
135,6132,4,4,Store was clean and well organized.,In-Store,2023-12-06
136,6039,2,5,Store was clean and well organized.,WhatsApp,2023-08-21
137,6394,9,4,Outstanding support and great deals.,WhatsApp,2022-03-09
138,6311,3,5,Best electronics store in the city!,App,2022-05-13
139,6443,9,3,Store was clean but staff seemed busy.,Website,2024-12-09
140,6159,8,5,Good value for money.,App,2025-07-11
141,6330,8,5,Store was clean and well organized.,Email,2023-09-02
142,6151,3,4,Quick billing and smooth process.,Email,2023-03-19
143,6198,9,3,Would recommend to friends.,WhatsApp,2023-04-21
144,6115,6,4,Outstanding support and great deals.,Phone-Call,2022-01-05
145,6144,3,3,Product meets basic expectations.,App,2022-09-05
146,6146,10,2,"Long waiting time, no one attended to us.",In-Store,2024-08-21
147,6045,6,3,Store was clean but staff seemed busy.,App,2023-10-07
148,6150,4,5,Store was clean and well organized.,In-Store,2025-02-23
149,6287,9,3,Would recommend to friends.,WhatsApp,2022-08-15
150,6324,6,4,Store was clean and well organized.,In-Store,2026-01-14
151,6447,4,3,Service was okay but could be improved.,Phone-Call,2024-07-07
152,6112,5,5,Will definitely come back again!,Email,2023-06-05
153,6363,8,4,Best electronics store in the city!,App,2023-09-20
154,6395,4,2,Overpriced and poor quality.,Phone-Call,2022-02-10
155,6140,3,5,Quick billing and smooth process.,App,2026-02-07
156,6122,10,4,Outstanding support and great deals.,Phone-Call,2023-09-13
157,6262,10,3,Service was okay but could be improved.,App,2026-01-01
158,6220,10,4,Quick billing and smooth process.,Email,2024-02-21
159,6060,9,5,Good value for money.,App,2025-09-26
160,6182,8,1,Limited product options and low stock.,Website,2023-09-09
161,6155,8,4,Amazing product quality. Very satisfied.,In-Store,2024-07-30
162,6246,10,5,Super fast billing and great ambience.,Phone-Call,2025-12-31
163,6356,6,4,Five stars well deserved!,In-Store,2022-06-10
164,6231,4,3,Store was clean but staff seemed busy.,Email,2022-08-22
165,6347,7,4,Best electronics store in the city!,Website,2022-04-16
166,6025,8,3,Service was okay but could be improved.,App,2025-06-04
167,6052,6,4,Will definitely come back again!,Phone-Call,2023-05-06
168,6449,2,3,Satisfactory but room for improvement.,WhatsApp,2023-02-15
169,6015,2,2,"Product is average, expected much more.",App,2025-09-21
170,6420,5,3,Service was okay but could be improved.,App,2022-04-29
171,6365,10,1,Overpriced and poor quality.,Website,2022-03-21
172,6352,6,3,Store was clean but staff seemed busy.,App,2026-03-01
173,6477,4,4,Outstanding support and great deals.,In-Store,2024-09-24
174,6484,3,5,Staff went above and beyond to help.,Phone-Call,2022-11-16
175,6339,6,5,Staff went above and beyond to help.,In-Store,2025-06-26
176,6058,9,4,Will definitely come back again!,WhatsApp,2025-03-01
177,6423,2,2,Return process was complicated.,App,2025-02-16
178,6029,8,3,"Met some expectations, decent selection.",Phone-Call,2024-12-07
179,6018,10,3,Satisfactory but room for improvement.,In-Store,2024-11-06
180,6230,9,1,Return process was complicated.,Email,2022-11-20
181,6280,3,5,Will definitely come back again!,WhatsApp,2023-02-28
182,6266,5,3,Store was clean but staff seemed busy.,Email,2024-03-18
183,6461,10,5,Will definitely come back again!,In-Store,2022-03-07
184,6351,3,2,Will not visit again. Terrible experience.,Website,2024-06-30
185,6303,7,3,Satisfactory but room for improvement.,WhatsApp,2022-09-24
186,6255,8,1,"Product is average, expected much more.",Phone-Call,2024-12-12
187,6206,8,5,Five stars well deserved!,WhatsApp,2025-10-21
188,6198,3,4,Will definitely come back again!,Email,2025-07-27
189,6429,9,4,Store was clean and well organized.,App,2023-05-25
190,6088,2,5,Amazing product quality. Very satisfied.,WhatsApp,2025-02-15
191,6360,3,4,Amazing product quality. Very satisfied.,In-Store,2022-01-11
192,6172,9,5,Quick billing and smooth process.,In-Store,2024-11-17
193,6229,9,5,Quick billing and smooth process.,Website,2023-09-20
194,6029,5,4,Store was clean and well organized.,Phone-Call,2023-08-08
195,6061,8,4,Good value for money.,Website,2022-10-13
196,6300,7,3,Satisfactory but room for improvement.,In-Store,2023-12-03
197,6200,7,2,"Product is average, expected much more.",App,2022-06-27
198,6129,9,5,Good value for money.,Website,2023-02-06
199,6021,5,4,Five stars well deserved!,Email,2024-07-11
200,6415,8,5,Store was clean and well organized.,In-Store,2025-12-30
201,6050,6,1,Will not visit again. Terrible experience.,Phone-Call,2023-10-17
202,6157,10,5,Five stars well deserved!,WhatsApp,2023-07-23
203,6184,9,4,Store was clean and well organized.,In-Store,2024-03-10
204,6487,8,3,Would recommend to friends.,Website,2022-08-07
205,6111,8,2,Price is not justified for the quality.,Email,2023-08-08
206,6178,3,5,Good value for money.,WhatsApp,2025-05-23
207,6216,9,5,Super fast billing and great ambience.,App,2025-02-05
208,6175,3,4,Quick billing and smooth process.,Website,2024-02-18
209,6295,10,4,Quick billing and smooth process.,Website,2023-10-10
210,6180,7,4,Best electronics store in the city!,App,2023-01-18
211,6055,6,4,Good value for money.,WhatsApp,2022-01-31
212,6257,9,4,Good value for money.,Phone-Call,2023-07-23
213,6476,5,4,Good value for money.,WhatsApp,2026-01-03
214,6020,4,4,Five stars well deserved!,Phone-Call,2023-07-10
215,6499,4,4,Five stars well deserved!,App,2024-10-12
216,6288,5,2,"Long waiting time, no one attended to us.",Website,2025-04-13
217,6372,8,4,Good value for money.,App,2024-04-08
218,6143,10,5,Will definitely come back again!,Email,2024-01-13
219,6409,1,4,Best electronics store in the city!,Website,2025-09-14
220,6448,8,3,"Met some expectations, decent selection.",In-Store,2024-01-24
221,6239,3,4,Amazing product quality. Very satisfied.,Phone-Call,2023-12-26
222,6097,9,4,Super fast billing and great ambience.,WhatsApp,2024-11-11
223,6493,1,4,Quick billing and smooth process.,WhatsApp,2022-01-26
224,6338,8,2,Below average experience overall.,Email,2022-12-27
225,6176,3,1,Overpriced and poor quality.,Phone-Call,2025-09-05
226,6096,4,2,"Long waiting time, no one attended to us.",WhatsApp,2022-07-14
227,6299,6,5,Amazing product quality. Very satisfied.,Phone-Call,2025-12-03
228,6407,1,5,Outstanding support and great deals.,Website,2025-12-01
229,6055,9,5,Amazing product quality. Very satisfied.,App,2025-02-20
230,6385,7,2,"Billing took forever, staff was rude.",Website,2024-06-25
231,6111,6,4,Good value for money.,WhatsApp,2024-12-25
232,6124,1,4,Store was clean and well organized.,In-Store,2024-08-03
233,6027,10,4,Quick billing and smooth process.,Website,2022-11-14
234,6395,1,3,"Met some expectations, decent selection.",In-Store,2023-12-25
235,6197,1,4,Good value for money.,Email,2023-12-29
236,6142,4,1,"Billing took forever, staff was rude.",Phone-Call,2022-07-10
237,6220,5,3,Product meets basic expectations.,Website,2023-02-23
238,6413,10,5,Amazing product quality. Very satisfied.,WhatsApp,2025-05-25
239,6062,1,5,Good value for money.,Website,2023-02-25
240,6345,1,4,Best electronics store in the city!,In-Store,2024-10-17
241,6481,4,2,Limited product options and low stock.,Website,2023-09-03
242,6324,3,4,Store was clean and well organized.,Phone-Call,2025-06-13
243,6491,6,1,Limited product options and low stock.,WhatsApp,2026-02-15
244,6377,6,1,"Product is average, expected much more.",WhatsApp,2025-04-20
245,6051,4,2,Limited product options and low stock.,WhatsApp,2025-10-22
246,6362,1,2,"Long waiting time, no one attended to us.",Website,2023-08-12
247,6411,4,3,Service was okay but could be improved.,Website,2024-05-21
248,6047,5,5,Store was clean and well organized.,App,2023-04-02
249,6462,5,1,Below average experience overall.,Website,2025-06-09
250,6249,3,4,Staff went above and beyond to help.,WhatsApp,2023-09-07
251,6085,10,4,Outstanding support and great deals.,In-Store,2025-03-25
252,6428,5,4,Amazing product quality. Very satisfied.,WhatsApp,2022-07-09
253,6068,1,4,Quick billing and smooth process.,Phone-Call,2022-08-05
254,6192,10,3,Satisfactory but room for improvement.,App,2024-04-18
255,6269,3,4,Good value for money.,WhatsApp,2023-02-13
256,6136,9,5,Best electronics store in the city!,Website,2025-05-30
257,6380,9,5,Will definitely come back again!,In-Store,2026-02-20
258,6013,4,5,Staff went above and beyond to help.,Website,2025-01-10
259,6075,3,2,Return process was complicated.,Email,2022-06-05
260,6008,8,4,Amazing product quality. Very satisfied.,In-Store,2023-09-08
261,6115,1,3,Store was clean but staff seemed busy.,WhatsApp,2025-04-17
262,6464,8,1,Price is not justified for the quality.,WhatsApp,2024-06-08
263,6078,3,2,"Long waiting time, no one attended to us.",App,2026-02-25
264,6290,7,3,Would recommend to friends.,In-Store,2024-11-28
265,6276,3,3,Would recommend to friends.,WhatsApp,2025-07-02
266,6121,3,3,Satisfactory but room for improvement.,WhatsApp,2023-08-03
267,6430,7,3,Satisfactory but room for improvement.,Email,2023-08-21
268,6422,10,1,Price is not justified for the quality.,Website,2023-04-14
269,6421,5,5,Outstanding support and great deals.,In-Store,2023-08-31
270,6413,8,2,Packaging was damaged on arrival.,In-Store,2023-05-01
271,6069,8,3,"Average experience, nothing special.",In-Store,2022-08-04
272,6446,5,4,Amazing product quality. Very satisfied.,Email,2022-02-01
273,6176,5,4,Super fast billing and great ambience.,Email,2022-10-22
274,6211,7,4,Will definitely come back again!,Email,2023-10-06
275,6041,5,1,"Product is average, expected much more.",App,2023-04-04
276,6148,7,5,Quick billing and smooth process.,In-Store,2025-12-25
277,6190,3,4,Quick billing and smooth process.,Website,2024-06-25
278,6196,1,2,Limited product options and low stock.,Website,2023-04-07
279,6157,7,5,Super fast billing and great ambience.,In-Store,2022-04-14
280,6484,2,5,Super fast billing and great ambience.,App,2025-09-27
281,6450,3,3,Satisfactory but room for improvement.,Email,2025-12-16
282,6364,10,3,Service was okay but could be improved.,App,2024-08-06
283,6308,9,3,"Met some expectations, decent selection.",In-Store,2024-11-06
284,6024,3,3,Would recommend to friends.,Phone-Call,2025-11-09
285,6317,4,2,Packaging was damaged on arrival.,Website,2022-03-11
286,6144,6,4,Best electronics store in the city!,Email,2025-02-17
287,6411,2,5,Outstanding support and great deals.,App,2022-04-04
288,6433,1,2,"Long waiting time, no one attended to us.",App,2023-07-01
289,6107,7,1,Below average experience overall.,Email,2022-06-04
290,6321,6,1,"Product is average, expected much more.",App,2023-06-12
291,6177,3,2,Will not visit again. Terrible experience.,Website,2022-03-08
292,6361,7,5,Five stars well deserved!,In-Store,2025-09-16
293,6399,3,5,Staff went above and beyond to help.,App,2025-09-07
294,6070,8,5,Outstanding support and great deals.,Email,2023-11-24
295,6482,9,5,Outstanding support and great deals.,In-Store,2023-10-30
296,6277,1,2,"Product is average, expected much more.",WhatsApp,2023-11-21
297,6075,7,4,Quick billing and smooth process.,In-Store,2022-03-06
298,6241,5,5,Staff went above and beyond to help.,In-Store,2025-12-15
299,6003,5,3,Would recommend to friends.,App,2023-10-23
300,6419,7,4,Quick billing and smooth process.,Website,2023-06-14
301,6433,5,5,Store was clean and well organized.,Website,2023-03-02
302,6036,6,2,Overpriced and poor quality.,Email,2023-04-12
303,6198,5,4,Store was clean and well organized.,Website,2023-03-21
304,6459,9,3,"Met some expectations, decent selection.",In-Store,2024-01-14
305,6075,2,5,Amazing product quality. Very satisfied.,App,2024-09-23
306,6038,2,2,Price is not justified for the quality.,In-Store,2024-01-26
307,6038,4,5,Good value for money.,Email,2024-05-30
308,6401,2,5,Outstanding support and great deals.,Website,2025-02-21
309,6034,8,1,Will not visit again. Terrible experience.,WhatsApp,2026-02-23
310,6164,10,5,Super fast billing and great ambience.,WhatsApp,2024-10-04
311,6089,6,3,Service was okay but could be improved.,App,2023-02-06
312,6172,2,5,Super fast billing and great ambience.,Email,2025-03-18
313,6193,8,1,Overpriced and poor quality.,App,2024-04-04
314,6200,9,5,Good value for money.,Phone-Call,2022-07-19
315,6330,7,3,Satisfactory but room for improvement.,In-Store,2024-03-11
316,6307,7,3,"Average experience, nothing special.",In-Store,2024-01-19
317,6214,3,5,Store was clean and well organized.,In-Store,2024-05-15
318,6245,7,4,Five stars well deserved!,WhatsApp,2023-05-21
319,6125,6,4,Super fast billing and great ambience.,App,2025-08-07
320,6344,1,3,Satisfactory but room for improvement.,Phone-Call,2023-05-17
321,6334,9,3,Satisfactory but room for improvement.,In-Store,2024-03-02
322,6287,2,1,Return process was complicated.,Phone-Call,2025-09-03
323,6062,1,5,Outstanding support and great deals.,WhatsApp,2023-01-31
324,6176,10,3,Store was clean but staff seemed busy.,App,2022-04-06
325,6018,5,3,Service was okay but could be improved.,App,2025-02-24
326,6019,1,4,Quick billing and smooth process.,Phone-Call,2025-09-14
327,6026,7,5,Super fast billing and great ambience.,Phone-Call,2022-09-26
328,6003,9,5,Five stars well deserved!,Email,2023-01-25
329,6349,8,5,Five stars well deserved!,Email,2025-04-08
330,6170,8,3,Store was clean but staff seemed busy.,WhatsApp,2022-07-07
331,6043,3,4,Quick billing and smooth process.,WhatsApp,2023-01-10
332,6332,2,5,Five stars well deserved!,App,2022-04-23
333,6047,3,5,Super fast billing and great ambience.,Phone-Call,2025-08-11
334,6500,10,5,Good value for money.,In-Store,2022-12-03
335,6080,3,3,Store was clean but staff seemed busy.,WhatsApp,2023-01-04
336,6470,4,2,"Product is average, expected much more.",In-Store,2022-07-05
337,6332,6,4,Staff went above and beyond to help.,Website,2024-06-12
338,6189,4,3,Service was okay but could be improved.,WhatsApp,2022-04-10
339,6019,6,5,Will definitely come back again!,Website,2025-06-21
340,6116,9,1,Will not visit again. Terrible experience.,App,2022-04-07
341,6417,5,3,Product meets basic expectations.,Email,2024-01-10
342,6151,9,1,Will not visit again. Terrible experience.,Website,2022-10-26
343,6261,4,3,Would recommend to friends.,Phone-Call,2024-12-16
344,6363,2,5,Staff went above and beyond to help.,WhatsApp,2022-10-01
345,6442,7,5,Will definitely come back again!,In-Store,2025-11-25
346,6438,1,1,"Product is average, expected much more.",Website,2023-05-02
347,6165,5,3,Would recommend to friends.,Website,2024-05-23
348,6072,1,5,Will definitely come back again!,Email,2023-08-12
349,6066,8,2,Packaging was damaged on arrival.,App,2026-03-30
350,6191,10,1,Return process was complicated.,App,2023-09-17
351,6141,7,5,Five stars well deserved!,Email,2024-03-12
352,6129,7,1,"Long waiting time, no one attended to us.",App,2025-10-14
353,6174,3,1,"Billing took forever, staff was rude.",WhatsApp,2025-07-11
354,6365,2,1,Price is not justified for the quality.,App,2023-10-29
355,6381,5,3,Satisfactory but room for improvement.,Email,2024-01-15
356,6376,1,4,Will definitely come back again!,Website,2022-04-14
357,6275,10,4,Outstanding support and great deals.,In-Store,2026-01-27
358,6056,4,4,Best electronics store in the city!,Email,2024-12-04
359,6013,4,5,Five stars well deserved!,Website,2026-01-05
360,6350,7,4,Quick billing and smooth process.,App,2024-01-14
361,6112,3,4,Good value for money.,Website,2023-08-02
362,6054,3,5,Outstanding support and great deals.,Website,2024-06-12
363,6096,6,5,Good value for money.,Email,2025-04-18
364,6111,3,4,Good value for money.,App,2022-11-28
365,6085,9,5,Best electronics store in the city!,Email,2024-02-12
366,6399,6,2,Limited product options and low stock.,WhatsApp,2025-03-14
367,6378,5,5,Five stars well deserved!,WhatsApp,2025-01-11
368,6045,7,5,Quick billing and smooth process.,WhatsApp,2025-12-26
369,6157,4,5,Will definitely come back again!,Website,2022-12-20
370,6117,6,1,"Long waiting time, no one attended to us.",In-Store,2025-01-23
371,6493,3,3,Store was clean but staff seemed busy.,Email,2025-04-10
372,6150,1,4,Amazing product quality. Very satisfied.,WhatsApp,2022-04-11
373,6431,9,3,Would recommend to friends.,Email,2024-07-25
374,6106,5,5,Five stars well deserved!,WhatsApp,2025-06-23
375,6093,5,2,Below average experience overall.,Email,2022-11-11
376,6300,4,5,Super fast billing and great ambience.,WhatsApp,2022-05-18
377,6135,3,4,Five stars well deserved!,App,2024-03-28
378,6454,4,4,Will definitely come back again!,Website,2022-07-14
379,6433,10,3,Store was clean but staff seemed busy.,Email,2025-04-15
380,6253,5,5,Quick billing and smooth process.,App,2026-01-06
381,6421,8,1,"Long waiting time, no one attended to us.",WhatsApp,2022-03-27
382,6188,3,5,Will definitely come back again!,Email,2024-04-18
383,6423,8,1,Price is not justified for the quality.,Website,2025-07-25
384,6158,5,4,Quick billing and smooth process.,Email,2026-03-17
385,6311,6,4,Best electronics store in the city!,In-Store,2024-04-11
386,6474,4,2,Overpriced and poor quality.,Website,2023-11-11
387,6307,5,2,Return process was complicated.,Email,2022-05-11
388,6130,1,5,Super fast billing and great ambience.,Email,2023-12-07
389,6033,9,5,Will definitely come back again!,In-Store,2025-09-05
390,6174,5,1,Limited product options and low stock.,WhatsApp,2026-01-22
391,6251,8,5,Store was clean and well organized.,Phone-Call,2023-01-24
392,6043,1,1,Below average experience overall.,Phone-Call,2022-10-06
393,6160,9,1,"Billing took forever, staff was rude.",In-Store,2023-10-02
394,6413,1,4,Super fast billing and great ambience.,In-Store,2025-02-20
395,6183,3,4,Super fast billing and great ambience.,App,2025-01-21
396,6120,5,3,Satisfactory but room for improvement.,App,2025-12-24
397,6449,3,5,Best electronics store in the city!,App,2025-06-16
398,6025,7,4,Quick billing and smooth process.,Website,2023-07-13
399,6311,6,5,Amazing product quality. Very satisfied.,App,2025-03-17
400,6231,9,1,"Billing took forever, staff was rude.",Phone-Call,2023-08-27
401,6107,4,4,Amazing product quality. Very satisfied.,WhatsApp,2022-10-29
402,6326,4,3,"Met some expectations, decent selection.",App,2024-06-01
403,6202,4,4,Store was clean and well organized.,Website,2024-03-11
404,6242,1,2,"Long waiting time, no one attended to us.",App,2023-09-01
405,6472,9,3,Would recommend to friends.,WhatsApp,2024-01-24
406,6206,2,4,Five stars well deserved!,Email,2025-02-18
407,6450,8,4,Staff went above and beyond to help.,Email,2022-04-03
408,6037,4,4,Will definitely come back again!,Phone-Call,2024-10-01
409,6210,10,4,Staff went above and beyond to help.,Website,2024-06-29
410,6435,1,5,Quick billing and smooth process.,Phone-Call,2023-01-25
411,6016,5,4,Quick billing and smooth process.,App,2025-12-15
412,6390,1,3,Service was okay but could be improved.,App,2025-02-17
413,6041,3,1,Limited product options and low stock.,WhatsApp,2024-01-31
414,6366,3,3,Would recommend to friends.,App,2022-09-12
415,6427,5,3,"Met some expectations, decent selection.",App,2025-10-05
416,6040,8,3,"Met some expectations, decent selection.",App,2022-02-12
417,6198,9,3,"Average experience, nothing special.",Phone-Call,2025-12-15
418,6490,10,2,"Billing took forever, staff was rude.",Phone-Call,2025-08-10
419,6027,10,4,Store was clean and well organized.,Website,2024-04-18
420,6317,9,5,Staff went above and beyond to help.,App,2023-08-18
421,6047,3,5,Super fast billing and great ambience.,WhatsApp,2022-07-03
422,6423,6,1,"Long waiting time, no one attended to us.",In-Store,2024-05-27
423,6441,2,5,Best electronics store in the city!,App,2025-07-21
424,6392,3,5,Best electronics store in the city!,Email,2022-01-26
425,6193,3,3,"Met some expectations, decent selection.",In-Store,2023-12-17
426,6023,6,3,"Average experience, nothing special.",WhatsApp,2022-03-19
427,6318,2,1,Overpriced and poor quality.,Phone-Call,2022-11-09
428,6262,7,4,Store was clean and well organized.,Website,2023-08-15
429,6249,1,1,Overpriced and poor quality.,Website,2023-03-15
430,6068,5,5,Store was clean and well organized.,App,2022-06-10
431,6059,8,5,Amazing product quality. Very satisfied.,Website,2023-04-05
432,6456,9,1,Below average experience overall.,Phone-Call,2025-11-08
